Angle,Distance_mm
0,197
9,195
18,191
27,190
36,326
45,326
54,2550
63,1825
72,839
81,835
90,1710
99,1767
108,1775
117,1785
126,2550
135,2550
144,1428
153,1407
162,1380
171,1368
180,1368
189,839
198,802
207,651
216,722
225,401
234,355
243,328
252,326
261,326
270,326
279,337
288,321
297,338
306,399
315,410
324,326
333,241
342,225
351,203
