Angle,Distance_mm
0,1921
9,1913
18,1192
27,857
36,835
45,835
54,597
63,578
72,559
81,546
90,538
99,527
108,525
117,525
126,536
135,563
144,574
153,554
162,561
171,582
180,582
189,818
198,1881
207,1956
216,855
225,1672
234,871
243,871
252,574
261,555
270,542
279,527
288,536
297,542
306,544
315,1879
324,2321
333,1956
342,1934
351,1921
