Angle,Distance_mm
0,1030
9,1015
18,1016
27,1020
36,1036
45,1067
54,1192
63,1166
72,1137
81,1145
90,1062
99,978
108,956
117,992
126,1054
135,1037
144,1211
153,1437
162,1468
171,2550
180,2550
189,1023
198,326
207,326
216,326
225,326
234,1191
243,1200
252,1173
261,1160
270,1000
279,985
288,994
297,1002
306,1023
315,1438
324,1088
333,1080
342,1060
351,1046
