Angle,Distance_mm
0,235
9,229
18,219
27,229
36,326
45,326
54,326
63,1123
72,1101
81,1084
90,1083
99,1099
108,1113
117,1129
126,1156
135,1493
144,1507
153,1527
162,1589
171,1633
180,1547
189,1525
198,1517
207,1900
216,1890
225,1036
234,1012
243,1002
252,982
261,972
270,960
279,953
288,947
297,947
306,964
315,976
324,326
333,290
342,259
351,227
