Angle,Distance_mm
0,2550
9,2550
18,1376
27,1349
36,1002
45,842
54,823
63,827
72,439
81,403
90,391
99,385
108,391
117,404
126,471
135,510
144,510
153,510
162,510
171,705
180,693
189,722
198,722
207,1054
216,1038
225,1076
234,527
243,500
252,474
261,462
270,447
279,443
288,439
297,443
306,479
315,563
324,563
333,2550
342,2550
351,2550
