Angle,Distance_mm
0,982
9,974
18,970
27,969
36,984
45,1014
54,1929
63,1775
72,1752
81,1710
90,1722
99,1671
108,1679
117,1725
126,1739
135,1813
144,660
153,633
162,614
171,598
180,586
189,580
198,578
207,582
216,599
225,670
234,658
243,641
252,447
261,420
270,401
279,404
288,411
297,392
306,491
315,500
324,536
333,559
342,581
351,542
