Angle,Distance_mm
0,933
9,921
18,931
27,863
36,816
45,537
54,474
63,439
72,428
81,428
90,429
99,418
108,411
117,420
126,404
135,416
144,385
153,362
162,349
171,364
180,689
189,698
198,689
207,689
216,2550
225,2550
234,2550
243,2034
252,2550
261,1999
270,2550
279,1740
288,1698
297,1718
306,1694
315,1937
324,1162
333,1016
342,982
351,960
