Angle,Distance_mm
0,267
9,259
18,269
27,278
36,326
45,389
54,349
63,321
72,326
81,320
90,298
99,298
108,289
117,294
126,326
135,321
144,578
153,546
162,555
171,580
180,580
189,952
198,955
207,963
216,2550
225,2550
234,2550
243,1870
252,1845
261,1821
270,1815
279,1813
288,705
297,687
306,680
315,693
324,321
333,321
342,296
351,278
